Wellhead Temp. (C),Wellhead Press (psi),MMCFD- gas,BOPD (barrel of oil produced per day),BWPD (barrel of water produced per day),BSW - basic solid and water (%),CO2 mol. (%) @ 25 C & 1 Atm.,Gas Grav.,CR-corrosion defect 
62.02,1867.97,2.2,674.91,1895.97,55.07,1.5399,0.8718,0.2628
57.74,1546.39,1.86,2012.85,7105.89,44.39,3.7768,0.7615,0.2627
59.77,1723.01,10.44,2038.31,120.68,72.9,1.767,0.8881,0.2616
47.05,1034.58,3.37,994.79,7341.82,27.01,3.3973,0.7147,0.2616
70.1,652.4,11.76,338.44,2767.04,48.98,2.2199,0.9256,0.2614
53.71,1885.35,8.93,1057.63,527.69,31.18,3.281,0.7794,0.2613
51.01,1482.56,3.66,357.79,3904.64,74.19,2.9011,0.7892,0.2599
53.26,622.53,1.92,264.9,7965.68,51.23,4.122,0.7633,0.2582
52.57,2073.58,15.68,1418.45,831.72,0.21,3.3518,0.791,0.258
73.46,1582.86,15.43,2060.9,5703.45,65.61,0.687,0.7526,0.257
53.37,1743.41,1.97,1055.9,1596.67,80.97,2.0525,0.714,0.2549
68.53,1045.82,14.4,810.01,5990.46,31.82,3.2109,0.905,0.2543
64.92,1637.3,5.4,840.81,6472.76,21.32,3.0083,0.7993,0.2491
73.71,428.83,7.26,773.78,6907.87,62.04,2.948,0.8361,0.2398
44.8,1622.26,2.06,1450.64,7863.33,5.27,3.8233,0.7258,0.2391
72.05,2026.61,17.54,191.77,7185.59,32.67,3.341,0.8637,0.2384
48.39,1123.05,1.56,728.81,2622.99,82.53,4.1721,0.8719,0.2383
62.68,1135.01,15.82,1852.27,6712.01,43.24,0.8533,0.9237,0.2361
71.44,2087.03,10.39,1598.61,3018.3,50.52,3.7408,0.9068,0.2353
66.9,1439.45,4.49,490.12,50.65,76.59,0.8259,0.8843,0.2347
52.3,399.8,14.35,424.61,187.8,43.75,3.6907,0.7521,0.2342
58.76,2061.09,8.38,1403.69,2833.09,7.91,2.8727,0.9165,0.234
61.94,555.47,8.44,1600.76,7134.43,38.3,2.4181,0.9285,0.2297
72.1,396.73,16.19,1677.21,621.97,13.62,3.8906,0.9103,0.2276
62.47,1216.41,1.59,324.92,8152.38,73.61,3.0376,0.797,0.2263
47.25,1550.98,0.23,174.7,2602.78,76.2,3.6172,0.8723,0.2243
51.66,847.59,4.17,755.28,7585.06,23.04,3.7994,0.7152,0.2243
51.6,936.71,13.89,632.06,2956.61,24.38,4.1054,0.7903,0.2239
61.38,626.38,1.07,1481.64,8451.72,23.85,1.8926,0.8306,0.223
61.35,1650.71,7.87,1895.26,3034.71,9.86,2.4773,0.8306,0.2218
62.08,1314.48,3.77,1851.74,7551.4,69.8,1.8533,0.8138,0.2215
60.6,1046.89,10.75,1861.34,6913.02,0.23,2.2427,0.8558,0.2197
65.62,1288.47,2.09,1719.14,1577.26,7.64,3.1566,0.8041,0.2189
58.56,1719.63,13.42,2087.43,55.28,14.43,4.263,0.762,0.2187
71.74,866.52,15.86,842.7,6935.44,68.74,2.4168,0.9081,0.2178
66.09,2104.48,13.24,581.49,3757.23,21.31,4.1116,0.8898,0.2161
45.14,453.79,13.39,1670.8,2852.91,3.85,3.2667,0.7178,0.215
48.7,1298.57,16.91,1492.6,3155.0,41.9,4.2422,0.7561,0.2136
45.7,1344.31,10.0,1341.75,3067.41,22.71,2.6811,0.7194,0.2124
61.92,1747.29,9.78,1330.45,271.36,33.15,1.5495,0.9069,0.2079
41.26,2292.52,10.36,194.25,2874.33,66.83,2.9432,0.8684,0.2076
42.38,1951.49,7.82,597.24,3687.07,74.69,1.3834,0.7413,0.2056
70.38,1634.02,3.14,1149.79,7793.76,73.53,1.6644,0.7202,0.2039
65.04,1496.1,8.48,324.23,7665.46,75.68,1.6262,0.8288,0.2027
66.1,612.55,8.71,601.04,5973.52,8.46,2.8361,0.8809,0.2012
66.89,1622.95,5.16,277.07,1195.06,89.22,3.4979,0.9002,0.2007
65.36,1548.2,1.76,2033.13,2794.33,54.28,1.2599,0.7266,0.1989
62.44,1759.9,4.36,1122.43,9098.5,55.4,1.0849,0.7398,0.1985
71.64,940.18,11.49,1637.77,5559.94,78.9,2.6978,0.9102,0.1975
60.13,1866.18,9.86,140.24,6825.13,41.14,2.5294,0.8787,0.194
69.7,2309.11,13.58,371.06,3835.64,62.49,1.7425,0.8465,0.1939
62.43,1927.39,10.84,1816.67,3027.68,8.54,1.6219,0.8028,0.1932
61.62,1525.17,2.19,984.56,1619.44,28.92,0.7805,0.9312,0.1901
46.73,712.55,0.75,626.41,7858.41,18.02,3.7482,0.7318,0.1887
66.24,1510.37,3.79,289.57,966.75,15.27,0.8745,0.8885,0.1834
71.23,1172.95,0.93,1305.15,1212.97,5.87,3.8647,0.8278,0.1814
72.47,395.05,12.17,871.88,8528.18,55.98,1.4794,0.7952,0.1801
63.7,1475.11,15.58,1441.89,1151.63,0.45,3.7822,0.8855,0.1798
61.1,961.26,1.27,1659.98,2363.88,28.07,3.2005,0.8745,0.1771
66.46,1040.12,9.97,1129.93,4098.33,38.9,2.3368,0.8718,0.1763
42.21,1546.96,16.8,1171.37,5546.93,28.8,3.2012,0.7488,0.1727
52.71,2009.21,12.81,695.03,540.71,14.04,3.0474,0.7897,0.1722
65.22,2086.47,2.58,1143.21,7797.39,49.31,3.5119,0.7355,0.1722
49.57,1723.08,14.77,1192.42,3474.09,3.93,3.1818,0.7636,0.1704
42.72,1899.77,14.89,1437.66,4176.87,49.46,3.9529,0.7561,0.1687
54.88,2314.47,2.11,321.5,5282.61,17.68,2.7268,0.777,0.1675
72.2,1690.42,13.4,1435.35,1376.26,51.78,0.7487,0.7928,0.1669
64.09,2011.01,5.56,1389.55,5549.71,39.07,1.3949,0.7502,0.1632
49.55,1309.51,7.11,528.47,515.59,38.68,2.8746,0.7797,0.1632
59.22,1229.22,2.16,1854.6,6676.2,26.99,2.4837,0.8622,0.1594
47.17,1599.25,12.28,990.58,1288.75,5.67,3.3752,0.8009,0.1568
62.88,479.15,5.87,1802.88,3167.28,3.16,0.6786,0.9136,0.1559
66.06,1629.16,14.35,1584.99,7228.51,11.83,1.1382,0.7461,0.1521
64.28,1067.15,6.88,1370.42,7620.98,83.17,2.2258,0.9,0.1482
66.79,2229.49,16.19,379.95,3430.66,31.03,2.7921,0.8839,0.1479
61.23,1247.95,7.34,1375.09,7200.98,54.42,0.8193,0.8818,0.1465
66.76,997.29,4.96,1265.3,435.83,20.01,1.3458,0.8583,0.1455
51.5,1715.7,4.62,521.13,1341.31,26.3,3.5668,0.8206,0.1451
73.01,1256.75,4.31,299.34,4444.55,64.23,1.3651,0.8103,0.1449
41.3,977.09,5.78,866.38,235.16,32.33,3.9955,0.8503,0.1437
49.99,936.17,9.34,370.15,6699.73,72.13,3.7614,0.8043,0.1405
68.14,825.02,8.36,496.92,3154.97,61.02,3.1912,0.9147,0.1351
70.6,1960.97,7.96,899.7,2602.65,36.78,2.5358,0.8216,0.133
71.99,989.73,15.23,385.4,8280.56,69.85,1.5789,0.8351,0.1306
60.41,1749.6,7.68,314.08,8185.54,86.02,2.6674,0.8925,0.1299
64.1,2177.19,7.77,631.53,380.88,17.5,2.1774,0.8633,0.1271
72.7,1209.24,5.93,1496.02,3411.83,17.74,2.3435,0.7729,0.1257
69.72,1753.95,6.91,621.62,5955.94,11.45,1.767,0.7654,0.124
49.18,2187.48,2.71,1038.49,3749.13,3.01,3.9599,0.8234,0.1234
59.84,1972.03,4.44,129.47,7202.17,57.92,0.9535,0.8511,0.1221
59.85,1830.25,3.54,200.5,5435.63,12.81,1.8748,0.9319,0.12
67.21,382.08,10.12,338.47,5116.18,8.73,3.115,0.9187,0.1169
62.15,1020.51,0.6,902.48,1250.29,79.87,2.8308,0.8911,0.116
52.43,1320.05,12.89,830.54,6383.1,27.74,3.7864,0.7163,0.116
66.46,1529.61,8.07,1185.07,3902.61,63.76,2.1925,0.8527,0.1158
62.13,616.54,3.01,634.56,3697.13,83.62,3.6765,0.9205,0.1152
68.77,1739.43,14.26,1617.36,2367.53,18.58,2.2343,0.8146,0.1152
69.97,601.76,13.58,1108.59,9291.77,29.86,3.9407,0.8603,0.1142
59.74,1930.84,16.96,1486.35,4202.83,3.7,2.3477,0.8946,0.1137
63.49,678.45,9.85,2034.2,2059.55,89.26,0.7368,0.8685,0.1123
47.4,2132.88,11.05,796.1,8781.34,6.95,3.5159,0.7745,0.1084
56.02,2312.74,2.63,1981.11,1451.77,9.03,2.7956,0.8028,0.1081
57.87,2296.62,4.21,137.03,2811.85,23.91,3.0893,0.7655,0.1062
49.89,2021.2,12.8,816.97,4176.02,72.97,4.2546,0.7696,0.1046
42.94,1255.35,15.74,378.23,9232.12,7.97,3.129,0.7619,0.1031
59.69,1958.51,10.9,524.93,8549.41,17.41,3.3938,0.8347,0.1026
44.92,1117.49,13.22,1003.04,454.09,62.37,1.4029,0.7365,0.1019
62.83,1637.4,6.13,657.2,6273.53,58.81,0.8189,0.814,0.0995
59.62,1056.34,16.83,1585.83,7017.74,2.26,3.1142,0.9283,0.0986
73.38,1912.11,13.68,1900.75,3009.75,75.55,1.6362,0.8358,0.0977
64.72,1115.67,0.67,1163.79,1240.17,62.97,1.9784,0.8413,0.0973
67.92,1296.16,11.19,131.05,7558.35,28.14,3.8961,0.8541,0.0881
45.2,1147.65,0.86,1337.99,9290.42,41.77,3.9136,0.7437,0.0839
66.72,2305.97,14.9,211.59,2511.9,18.05,3.2229,0.8763,0.0836
71.33,1448.03,2.88,1484.29,231.0,46.82,3.6421,0.8217,0.0833
70.95,1584.06,10.49,371.71,595.58,76.0,4.0374,0.9311,0.0814
63.13,1354.5,2.41,747.03,7460.22,4.57,0.7789,0.7899,0.0786
73.66,1037.44,0.64,1201.83,4958.62,39.33,3.6512,0.778,0.0761
47.57,1665.22,9.01,1042.06,2502.49,71.5,2.8185,0.783,0.0624
60.03,1100.49,3.49,388.56,9186.01,46.83,4.1784,0.7743,0.0618
60.87,1459.18,6.15,953.41,2655.54,11.47,4.2195,0.8612,0.0616
63.39,1718.45,16.26,1193.84,1568.24,49.53,1.6094,0.9163,0.0602
56.57,2244.5,6.24,620.38,2095.85,10.81,3.0519,0.7689,0.0593
55.92,2182.01,8.98,1587.3,589.94,67.92,1.9142,0.717,0.0589
59.91,2133.8,8.21,475.66,3007.55,49.98,1.5793,0.9241,0.0581
47.01,451.04,12.56,573.26,5711.91,70.94,4.2982,0.8468,0.0576
60.05,1985.6,5.89,632.01,6376.8,51.78,3.0959,0.8588,0.0568
66.42,1073.49,5.15,1109.6,4309.26,50.13,2.5454,0.8295,0.0566
52.66,1174.92,0.84,924.46,6157.33,57.61,4.0096,0.833,0.0553
66.34,2015.57,10.02,1426.04,4271.01,52.83,1.9202,0.837,0.053
62.15,907.53,6.55,1284.67,3368.75,46.7,1.8204,0.917,0.0515
67.15,1667.86,16.52,1128.13,2523.74,75.02,0.7811,0.8528,0.0499
41.82,1430.9,7.08,776.94,8842.71,0.13,3.3307,0.7353,0.0499
48.32,1519.05,14.14,183.79,8766.57,56.47,1.8115,0.7234,0.0491
71.08,1009.11,8.21,1964.79,8222.17,51.28,4.2409,0.9081,0.0472
59.05,2312.92,10.71,1819.62,2784.01,17.13,3.4216,0.8217,0.0465
54.52,690.67,2.83,721.98,2919.52,50.15,4.1323,0.7598,0.0465
58.39,1650.84,2.92,1117.68,1514.01,85.52,3.1766,0.7379,0.0461
54.82,1910.1,1.95,1500.42,4355.98,76.52,3.316,0.8349,0.0443
73.87,2142.23,13.52,483.38,6630.13,69.38,2.2272,0.8526,0.044
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
61.88,1686.65,1.98,758.13,2265.73,27.34,4.0476,0.8167,0.0411
62.29,1168.0,11.65,260.16,8306.33,78.48,1.5651,0.8892,0.0391
61.34,2169.53,3.33,139.52,9248.56,20.77,0.7961,0.7378,0.0386
62.02,1161.25,0.59,779.59,3257.15,26.33,2.0335,0.886,0.0386
71.71,1723.78,0.41,885.95,520.43,22.98,0.8413,0.776,0.0384
72.05,980.89,6.9,556.06,3302.86,41.75,1.1707,0.825,0.0359
59.76,1869.52,2.79,439.61,6073.16,15.93,3.8375,0.7137,0.0337
59.06,1504.21,4.11,1532.37,8120.79,20.49,2.2848,0.842,0.0294
64.11,1265.04,15.18,2012.18,1934.8,41.16,2.8399,0.9184,0.0274
53.7,2127.37,1.22,1611.25,7509.23,36.9,2.4693,0.736,0.0255
64.1,1287.87,9.66,1253.57,1826.84,31.24,2.5719,0.8805,0.0237
63.68,976.11,0.84,478.47,940.67,85.63,1.163,0.9165,0.023
48.61,2288.13,15.0,1551.32,1227.3,69.33,3.4605,0.8137,0.0225
66.92,914.84,5.97,660.31,8187.7,75.61,2.3962,0.8151,0.0186
64.2,870.71,11.75,1596.52,1763.77,6.39,3.7048,0.8845,0.016
63.06,1834.03,2.57,216.13,1098.01,1.86,3.1695,0.8902,0.0145
54.44,1913.5,5.42,1097.63,2801.02,61.08,3.5289,0.8106,0.0144
67.97,1605.73,14.73,1052.67,4935.54,10.8,3.2064,0.8352,0.0123
62.79,1894.34,0.82,986.57,2986.18,33.42,1.1207,0.7819,0.0115
57.4,1796.2,5.5,1265.85,2465.96,51.03,4.004,0.8382,0.0095
63.26,1854.1,11.16,1631.66,352.33,16.36,1.3106,0.8304,0.0086
52.33,1521.23,5.67,265.79,9029.09,44.35,3.6541,0.8158,0.0082
59.92,1928.88,14.77,668.39,1286.57,39.26,4.1734,0.9197,0.0077
70.96,1119.63,10.11,1633.13,1953.96,17.79,3.8359,0.8404,0.0068
55.19,1641.6,5.11,1592.81,3196.83,82.86,3.9951,0.7304,0.0066
59.03,989.07,2.11,1468.69,8031.73,50.53,2.3224,0.891,0.0043
42.03,1132.67,6.81,872.9,3158.02,22.23,3.2233,0.7806,0.0037
54.76,1805.11,7.27,749.81,1056.15,80.99,3.352,0.8973,0.0036
53.78,767.43,4.0,1417.94,6854.24,1.13,4.2181,0.7243,0.0031
56.81,2242.44,1.71,1470.6,5929.47,14.83,2.0084,0.7927,0.0031
47.46,2243.44,2.42,727.07,4184.95,37.04,2.5155,0.7695,0.0027
54.03,2286.86,1.5,967.96,4900.59,7.84,3.7564,0.8991,0.0027
45.69,1674.08,3.42,1312.84,3476.96,23.08,3.8039,0.794,0.0022
63.31,2123.06,3.02,1312.97,7691.87,65.61,3.1973,0.7565,0.0009
60.66,2200.0,12.06,240.5,3656.68,3.96,2.8043,0.9101,0.2825
48.61,2288.13,15.0,1551.32,1227.3,69.33,3.4605,0.8137,0.0225
52.55,2097.23,3.87,500.73,7018.71,71.64,2.3926,0.7428,0.2763
67.54,699.02,6.44,170.41,4884.65,64.2,1.6333,0.8917,0.32
62.88,479.15,5.87,1802.88,3167.28,3.16,0.6786,0.9136,0.1559
52.86,1869.11,4.32,1452.12,40.61,62.4,2.5569,0.7465,0.3754
60.66,2200.0,12.06,240.5,3656.68,3.96,2.8043,0.9101,0.2825
70.1,652.4,11.76,338.44,2767.04,48.98,2.2199,0.9256,0.2614
69.97,601.76,13.58,1108.59,9291.77,29.86,3.9407,0.8603,0.1142
52.14,2040.67,13.07,1406.06,3173.87,3.21,2.9672,0.7311,0.2994
69.27,1516.68,8.79,807.8,1583.91,70.52,0.8584,0.8417,0.284
71.74,866.52,15.86,842.7,6935.44,68.74,2.4168,0.9081,0.2178
73.71,428.83,7.26,773.78,6907.87,62.04,2.948,0.8361,0.2398
65.62,1288.47,2.09,1719.14,1577.26,7.64,3.1566,0.8041,0.2189
66.01,1914.51,1.49,565.07,463.15,5.5,1.0842,0.8348,0.0438
66.79,2229.49,16.19,379.95,3430.66,31.03,2.7921,0.8839,0.1479
62.79,1894.34,0.82,986.57,2986.18,33.42,1.1207,0.7819,0.0115
65.04,1496.1,8.48,324.23,7665.46,75.68,1.6262,0.8288,0.2027
43.95,1879.46,10.52,517.26,567.07,16.05,2.003,0.7576,0.3743
59.05,2312.92,10.71,1819.62,2784.01,17.13,3.4216,0.8217,0.0465
47.57,1665.22,9.01,1042.06,2502.49,71.5,2.8185,0.783,0.0624
50.94,2240.19,6.72,647.65,5117.86,63.31,2.5736,0.7396,0.3453
66.48,1818.58,9.99,682.84,7574.8,36.32,1.8927,0.8148,0.335
61.62,1525.17,2.19,984.56,1619.44,28.92,0.7805,0.9312,0.1901
47.17,1599.25,12.28,990.58,1288.75,5.67,3.3752,0.8009,0.1568
48.61,2288.13,15.0,1551.32,1227.3,69.33,3.4605,0.8137,0.0225
66.06,1629.16,14.35,1584.99,7228.51,11.83,1.1382,0.7461,0.1521
63.7,1475.11,15.58,1441.89,1151.63,0.45,3.7822,0.8855,0.1798
61.92,2092.3,6.17,2086.64,9314.26,74.92,0.9643,0.8611,0.3444
67.4,1771.97,16.16,1233.2,2526.88,7.04,1.5625,0.8376,0.3377
60.05,1985.6,5.89,632.01,6376.8,51.78,3.0959,0.8588,0.0568
73.71,428.83,7.26,773.78,6907.87,62.04,2.948,0.8361,0.2398
62.68,1135.01,15.82,1852.27,6712.01,43.24,0.8533,0.9237,0.2361
52.86,1869.11,4.32,1452.12,40.61,62.4,2.5569,0.7465,0.3754
60.13,1866.18,9.86,140.24,6825.13,41.14,2.5294,0.8787,0.194
63.06,1834.03,2.57,216.13,1098.01,1.86,3.1695,0.8902,0.0145
49.46,2011.79,5.69,1053.85,799.61,48.36,4.2311,0.8877,0.2986
73.39,858.7,1.06,527.73,5638.43,48.97,3.8779,0.8402,0.3851
59.91,2133.8,8.21,475.66,3007.55,49.98,1.5793,0.9241,0.0581
59.76,1869.52,2.79,439.61,6073.16,15.93,3.8375,0.7137,0.0337
49.22,1237.29,16.4,251.03,4236.51,27.03,4.1987,0.8516,0.3396
62.9,1874.52,16.51,2082.66,675.4,10.5,3.021,0.8429,0.2937
72.05,980.89,6.9,556.06,3302.86,41.75,1.1707,0.825,0.0359
64.53,1392.21,4.68,635.27,8879.25,40.04,3.2478,0.8116,0.36
